type;sstype;classe
Abbey;Chartreuse;Monuments
Abbey;Church;Monuments
Abbey;Cloister;Monuments
Abbey;CulturalSite;Monuments
ActivityProvider;CulturalActivityProvider;Activites
ActivityProvider;LeisureSportActivityProvider;Activites
ActivityProvider;NauticalCentre;Activites
AmusementPark;CivicStructure;Activites
ArcheologicalSite;Bridge;Monuments
ArcheologicalSite;Castle;Monuments
ArcheologicalSite;Commanderie;Monuments
ArcheologicalSite;CulturalSite;Monuments
Basilica;Church;Monuments
Bridge;CulturalSite;Monuments
BuddhistTemple;CulturalSite;Monuments
CafeOrCoffeeShop;FoodEstablishment;Commerces
Casino;Casino;Activites
Castle;Citadel;Monuments
Castle;CulturalSite;Monuments
Cathedral;Church;Monuments
Chapel;Church;Monuments
Chapel;CulturalSite;Monuments
Church;Collegiate;Monuments
Church;CulturalSite;Monuments
Citadel;CulturalSite;Monuments
CivicStructure;FitnessPath;Activites
CivicStructure;LocalBusiness;Activites
CivicStructure;MiniGolf;Activites
CivicStructure;PlayArea;Activites
CivicStructure;Product;Activites
CivilCemetery;CulturalSite;Monuments
Collegiate;CulturalSite;Monuments
Convent;CulturalSite;Monuments
CulturalSite; ;Monuments
CulturalSite;DefenceSite;Monuments
CulturalSite;Farm;Activites
CulturalSite;Fountain;Monuments
CulturalSite;IndustrialSite;Monuments
CulturalSite;MilitaryCemetery;Monuments
CulturalSite;Mill;Monuments
CulturalSite;Mosque;Monuments
CulturalSite;Palace;Monuments
CulturalSite;ReligiousSite;Monuments
CulturalSite;RemarkableBuilding;Monuments
CulturalSite;RemembranceSite;Monuments
CulturalSite;TechnicalHeritage;Monuments
CyclingTour;FluvialTour;Activites
CyclingTour;HorseTour;Activites
CyclingTour;RoadTour;Activites
CyclingTour;Tour;Activites
EquipmentRentalShop;ServiceProvider;Activites
FoodEstablishment;LocalBusiness;Commerces
GolfCourse;GolfCourse;Activites
GolfCourse;Product;Activites
HorseTour;Tour;Activites
House;LocalBusiness;Commerces
House;Product;???
Landform;Beach;Paysage
Landform;Bog;Paysage
Landform;CaveSinkholeOrAven;Paysage
Landform;ChalkyLawn;Paysage
Landform;CulturalSite;Paysage
Landform;Culture;Paysage
Landform;Forest;Paysage
Landform;Lake;Paysage
Landform;LocalBusiness;Activites
Landform;NaturalCuriosity;Paysage
Landform;NaturalHeritage;Paysage
Landform;Park;Paysage
Library;CulturalSite;Activites
Library;LocalBusiness;Commerces
LocalBusiness;ActivityProvider;Activites
LocalBusiness;ArcheologicalSite;Monuments
LocalBusiness;BalneotherapyCentre;Activites
LocalBusiness;BilliardRoom;Activites
LocalBusiness;BoulesPitch;Activites
LocalBusiness;BowlingAlley;Activites
LocalBusiness;Brewery;Commerces
LocalBusiness;Castle;Monuments
LocalBusiness;Cooperative;Commerces
LocalBusiness;CraftsmanShop;Commerces
LocalBusiness;CulturalSite;Commerces
LocalBusiness;EquestrianCenter;Activites
LocalBusiness;Farmer;Activites
LocalBusiness;FitnessCenter;Activites
LocalBusiness;IceSkatingRink;Activites
LocalBusiness;LeisureComplex;Activites
LocalBusiness;LocalProductsShop;Commerces
LocalBusiness;MiniGolf;Activites
LocalBusiness;MovieTheater;Activites
LocalBusiness;Museum;Activites
LocalBusiness;NightClub;Activites
LocalBusiness;Park;Paysage
LocalBusiness;Producer;Commerces
LocalBusiness;ProducersGroup;Commerces
LocalBusiness;Product;Commerces
LocalBusiness;Racetrack;Activites
LocalBusiness;SightseeingBoat;Activites
LocalBusiness;StadiumOrArena;Activites
LocalBusiness;Store;Commerces
LocalBusiness;TastingProvider;Commerces
LocalBusiness;TouristInformationCenter;Info touristes
LocalBusiness;Zoo;Activites
Marina;NauticalCentre;Activites
Marina;RiverPort;Activites
MovieTheater;Cinema;Activites
NauticalCentre;RiverPort;Activites
NightClub;NightClub;Activites
Park;Castle;Monuments
Park;CulturalSite;Activites
Product;AccommodationProduct;Activites
Product;AccompaniedPractice;Activites
Product;ClimbingWall;Activites
Product;Course;Activites
Product;CulturalSite;Commerces
Product;EquipmentRental;Activites
Product;FirstPractice;Activites
Product;FreePractice;Activites
Product;MiniGolf;Activites
Product;MultiActivity;Activites
Product;Practice;Activites
RoadTour;Tour;Activites
SportsAndLeisurePlace; ;Activites
SportsAndLeisurePlace;SummerToboggan;Activites
SportsAndLeisurePlace;TeachingFarm;Activites
SportsAndLeisurePlace;TennisComplex;Activites
SportsAndLeisurePlace;TerrainPark;Activites
SportsAndLeisurePlace;Theater;Activites
SportsAndLeisurePlace;ViaFerrata;Activites
Tour;WalkingTour;Activites
TouristInformationCenter;IncomingTravelAgency;Info touristes
TouristInformationCenter;LocalTouristOffice;Info touristes
TouristInformationCenter;ProfessionalTourGuide;Info touristes
TouristInformationCenter;TouristInformationCenter;Info touristes
;SportsAndLeisurePlace;Activites
